"64B"
16 1 46.97 53.03
16 2 65.85 34.15
16 4 66.13 33.87
16 8 47.94 52.06
16 16 02.15 97.85


"128B"
32 1 48.53 51.47
32 2 70.52 29.48
32 4 77.03 22.97
32 8 71.30 28.70
32 16 50.47 49.53
32 32 03.89 96.11


"256B"
64 1 49.33 50.67
64 2 72.85 27.15
64 4 82.45 17.55
64 8 82.91 17.09
64 16 74.48 25.52
64 32 52.84 47.16


"512B"
128 1 49.78 50.22
128 2 74.04 25.96
128 4 85.15 14.85
128 8 88.66 11.34
128 16 86.35 13.65
128 32 77.02 22.98


"1024B"
256 1 50.27 49.73
256 2 74.75 25.25
256 4 86.53 13.47
256 8 91.52 08.48
256 16 92.19 07.81
256 32 88.87 11.13


"2048B"
512 1 51.53 48.47
512 2 75.61 24.39
512 4 87.46 12.54
512 8 93.01 06.99
512 16 95.04 04.96
512 32 94.57 05.43


